Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['_RL_RL', 'RANDOM_R0', 'RANDOM_R1', 'RANDOM_R2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'_RL_RL': '', 'RANDOM_R0': '', 'RANDOM_R1': '', 'RANDOM_R2': ''}",,"{'_RL_RL': -1, 'RANDOM_R0': -1, 'RANDOM_R1': -1, 'RANDOM_R2': -1}",
1,0,,SYSTEM,DEAL_CARDS,,,"[[0, 0, 5, 5, 5, 7, 7, 7, 8, 8, 9, 9, 9, 10, 11, 11, 11], [3, 5, 6, 7, 8, 9, 9, 9, 0, 0, 0, 0, 10, 11, 11, 11, 11], [1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 8, 9, 10, 0, 0, 0, 0], [2, 2, 3, 0, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11]]",,,,,,,
1,1,,RANDOM_R1,DISCARD,C11;Q2;J2,0.0,"[0, 0, 0, 0, 1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 8, 9, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]","['C11;Q1;J0', 'C11;Q1;J1', 'C11;Q1;J2', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q2;J2', 'pass']",,,,
1,1,,RANDOM_R2,DISCARD,pass,False,"[2, 2, 3, 5, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,1,,_RL_RL,DISCARD,pass,False,"[4, 4, 5, 5, 5, 7, 7, 7, 8, 8, 9, 9, 9, 10, 11, 11, 11]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,1,,RANDOM_R0,DISCARD,C10;Q4;J0,False,"[0, 0, 0, 0, 3, 5, 6, 7, 8, 9, 9, 9, 10, 11, 11, 11, 11]","[11, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","['C10;Q4;J0', 'C10;Q5;J0', 'pass']",,,,
1,1,,RANDOM_R1,DISCARD,pass,False,"[0, 0, 0, 0, 1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 8, 9, 10]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0]","['C6;Q4;J0', 'pass']",,,,
1,1,,RANDOM_R0,DECLARE_PIZZA,,,,,,,,,,
1,2,,RANDOM_R0,DISCARD,C10;Q1;J0,False,"[0, 0, 0, 0, 0, 3, 5, 6, 7, 8, 9, 9, 9, 11, 11, 11, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C3;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,2,,RANDOM_R1,DISCARD,C8;Q1;J0,False,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 9, 10]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C1;Q1;J0', 'C3;Q1;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C6;Q3;J0', 'C6;Q4;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'pass']",,,,
1,2,,RANDOM_R2,DISCARD,C5;Q1;J0,False,"[0, 2, 2, 3, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11]","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C2;Q2;J0', 'C3;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'pass']",,,,
1,2,,_RL_RL,DISCARD,C4;Q2;J0,False,"[0, 0, 5, 5, 5, 7, 7, 7, 8, 8, 9, 9, 9, 10, 11, 11, 11]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C4;Q2;J0', 'pass']",,,,
1,2,,RANDOM_R0,DISCARD,pass,False,"[0, 0, 0, 0, 0, 3, 5, 6, 7, 8, 9, 9, 9, 11, 11, 11, 11]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_R1,DISCARD,pass,False,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 9, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_R2,DISCARD,C2;Q2;J0,False,"[0, 0, 0, 3, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q2;J0', 'pass']",,,,
1,2,,_RL_RL,DISCARD,pass,False,"[0, 0, 5, 5, 5, 7, 7, 7, 8, 8, 9, 9, 9, 10, 11, 11, 11]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,2,,RANDOM_R2,DECLARE_PIZZA,,,,,,,,,,
1,3,,RANDOM_R2,DISCARD,C10;Q2;J0,False,"[0, 0, 0, 0, 0, 3, 6, 7, 7, 8, 8, 8, 9, 9, 10, 11, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C3;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
1,3,,_RL_RL,DISCARD,C9;Q3;J0,False,"[0, 0, 0, 0, 0, 5, 5, 5, 7, 7, 7, 8, 8, 10, 11, 11, 11]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","['C5;Q2;J0', 'C5;Q3;J0', 'C7;Q2;J0', 'C7;Q3;J0', 'C8;Q2;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
1,3,,RANDOM_R0,DISCARD,pass,False,"[0, 0, 0, 0, 0, 3, 5, 6, 7, 8, 9, 9, 9, 11, 11, 11, 11]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,3,,RANDOM_R1,DISCARD,pass,False,"[0, 0, 0, 0, 0, 1, 3, 4, 4, 6, 6, 6, 6, 7, 8, 9, 10]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","['C6;Q3;J0', 'C6;Q4;J0', 'pass']",,,,
1,3,,RANDOM_R2,DISCARD,pass,False,"[0, 0, 0, 0, 0, 3, 6, 7, 7, 8, 8, 8, 9, 9, 10, 11, 11]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0]","['C8;Q3;J0', 'pass']",,,,
1,3,,_RL_RL,DECLARE_PIZZA,,,,,,,,,,
